LakeID,LakeName
230,Silver_Lake_near_Crescent_City
259,Silver_Lake_near_East_Lake_Weir
258,Silver_Lake_near_Leesburg
231,Silver_Pond
232,Skull_Lake
233,Smith_Lake
234,South_Como_Park_Lake
235,South_Grasshopper_Lake
236,Star_Lake_at_Hawthorne
237,Stella_Lake_at_Crescent_City
238,Stevens_Lake
239,Swan_Lake
240,Swift_Creek_Pond
241,Tallavana
242,Tarhoe_Lake_at_Crescent_City
243,Thunder_Springs_Lake
244,Trone_Lake_at_Pomona_Park
245,Trout_Lake
246,Trowel_Lake
247,Tsala_Apopka_Lake
248,Unity_Lake
249,Upper_Lake_Louise_at_Seville
250,Varnes_Lake
251,Wauberg_Lake_at_Micanopy
252,White_Sands_Lake_at_Keystone_Heights
253,Whitewater_Club_Lake
254,Whitmore_Lake
255,Wildcat_Lake
256,Wildwood_Lake
